strategy,vwap,adx,st,trades,net,wr,pf,sharpe,maxdd_pct,exp_pct,avg_win,avg_loss
ema_rsi_long,0,0,0,1115,-106322.0,35.1,0.67,-5.54,-106.63,-0.0961,555.0,-447.0
ema_rsi_long,0,0,1,1050,-99665.0,35.1,0.67,-5.39,-100.01,-0.0957,558.0,-449.0
ema_rsi_long,0,20,0,723,-77621.0,34.9,0.66,-4.83,-77.09,-0.1083,587.0,-479.0
ema_rsi_long,0,20,1,694,-73280.0,35.0,0.66,-4.71,-71.77,-0.1065,590.0,-480.0
ema_rsi_long,0,25,0,380,-39477.0,35.5,0.69,-3.37,-38.82,-0.1049,648.0,-518.0
ema_rsi_long,0,25,1,375,-39656.0,35.5,0.69,-3.43,-39.0,-0.1068,648.0,-520.0
ema_rsi_long,1,0,0,1066,-100869.0,35.4,0.68,-5.41,-101.26,-0.0954,558.0,-452.0
ema_rsi_long,1,0,1,1004,-95243.0,35.4,0.68,-5.32,-95.5,-0.0956,561.0,-454.0
ema_rsi_long,1,20,0,697,-76525.0,34.9,0.65,-4.89,-76.11,-0.1107,591.0,-485.0
ema_rsi_long,1,20,1,668,-72184.0,35.0,0.66,-4.77,-71.03,-0.1089,594.0,-486.0
ema_rsi_long,1,25,0,365,-40370.0,35.1,0.67,-3.56,-39.52,-0.1116,653.0,-523.0
ema_rsi_long,1,25,1,360,-40549.0,35.0,0.67,-3.61,-39.7,-0.1136,654.0,-525.0
ema_rsi_short,0,0,0,1100,-104625.0,35.3,0.65,-5.48,-106.61,-0.0957,497.0,-418.0
ema_rsi_short,0,0,1,1003,-97529.0,35.0,0.64,-5.46,-97.87,-0.0977,502.0,-420.0
ema_rsi_short,0,20,0,666,-73225.0,34.8,0.62,-5.12,-74.94,-0.1104,518.0,-446.0
ema_rsi_short,0,20,1,617,-67769.0,34.8,0.62,-4.92,-68.73,-0.1103,520.0,-447.0
ema_rsi_short,0,25,0,323,-17806.0,39.0,0.81,-1.77,-22.75,-0.0551,590.0,-468.0
ema_rsi_short,0,25,1,306,-17026.0,38.6,0.81,-1.76,-24.9,-0.0556,596.0,-464.0
ema_rsi_short,1,0,0,1070,-103692.0,35.0,0.65,-5.48,-105.68,-0.0975,505.0,-420.0
ema_rsi_short,1,0,1,975,-96840.0,34.7,0.64,-5.44,-97.18,-0.0998,510.0,-423.0
ema_rsi_short,1,20,0,650,-72693.0,34.5,0.62,-5.1,-74.4,-0.1124,526.0,-447.0
ema_rsi_short,1,20,1,601,-67237.0,34.4,0.62,-4.89,-68.2,-0.1124,528.0,-448.0
ema_rsi_short,1,25,0,314,-17242.0,38.5,0.81,-1.73,-23.43,-0.0549,602.0,-467.0
ema_rsi_short,1,25,1,297,-16462.0,38.0,0.81,-1.72,-25.07,-0.0555,609.0,-463.0
