timestamp,symbol,signal_type,direction,entry_price,exit_price,quantity,stop_loss,trailing_stop,target,confidence,reasoning,pnl,mode,market_regime,sector_regime,mtf_3m,mtf_15m,mtf_1h
2026-06-03 10:41:46,DRREDDY,CLOSED,SELL,1262.60,1265.70,1,1267.02,1268.46,1253.76,82,"1. VIABILITY: SELL rules met - price (1262.60) below VWAP (1266.65), RSI (43.38) > 30, ADX (34.75) > 18. 2. VOLUME: Volume ratio 1.34 > 1.2, confirming breakout/trend. 3. CANDLES: Last 5 candles show consistent bearish movement with lower highs/lows, supporting SELL. 4. MTF: 3-min and 15-min both bearish, aligned. 5. KRONOS: Forecast shows slight upward bias (+0.24%) but immediate candle -0.07%, mixed but not strongly conflicting. 6. R:R: ATR% = 2.93/1262.60 ≈ 0.23%, SL at 1.5x ATR% = 0.35%, target 2x SL = 0.70%, achievable. 7. CONFIDENCE: All steps confirmed, but Nifty bearish trend supports SELL, no critical violations. Confidence set to 82. | Kronos: ratio=1.08 ALIGN range=0.68%",-3.50,LIVE,BEARISH,,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 10:43:00,GODREJCP,CLOSED,SELL,980.80,983.50,1,983.84,984.90,974.72,85,"1. VIABILITY: Price (980.8) is below VWAP (983.98), RSI (32.23) > 30, ADX (41.72) > 18 → SELL rules met. 2. VOLUME: Volume ratio 0.91, trending market (ADX>22, price below VWAP+SMA20) → acceptable. 3. CANDLES: Last 5 candles show consistent bearish movement with lower highs/lows, supporting SELL. 4. MTF: 3-min and 15-min both bearish, aligned. 5. KRONOS: Forecast shows slight bearish bias (t+1 -0.12%), supporting SELL. 6. R:R: ATR% ~0.21%, SL at 1.5x ATR% = 0.31%, target 2x SL = 0.62%, achievable. 7. CONFIDENCE: All steps confirmed, high confidence. | Kronos: ratio=1.12 ALIGN range=0.46%",-2.20,LIVE,BEARISH,,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 10:49:57,SIEMENS,CLOSED,SELL,3681.20,3693.80,1,3736.42,3702.00,3570.76,85,"1. VIABILITY: Price (3681.2) is below VWAP (3707.7), RSI (34.94) > 30, ADX (37.51) > 18 → SELL rules met. 2. VOLUME: Volume ratio 0.71, ADX > 22 and price below VWAP+SMA20 (trending), so vol >= 0.5 is acceptable. 3. CANDLES: Last 5 candles show consistent lower highs and bearish closes, supporting SELL. 4. MTF: 3-min BEARISH, 15-min BEARISH (price at SMA20 but RSI 50 neutral, ADX 20 borderline) → alignment, no conflict. 5. KRONOS: Forecast shows slight upward bias (+0.02%) but immediate candle -0.11%, range 0.51% indicates volatility; not strongly conflicting. 6. R:R: ATR 10.4 (0.28%), SL at 1.5x ATR = 0.42%, target 3% gives R:R > 7:1, excellent. 7. CONFIDENCE: All steps confirmed, Nifty bearish supports SELL, no critical violations → 85. | Kronos: ratio=1.27 ALIGN range=0.51%",-11.80,LIVE,BEARISH,,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 10:50:45,HINDZINC,CLOSED,SELL,614.20,612.70,1,623.41,617.02,595.77,85,"1. VIABILITY: SELL rules met - price (614.2) below VWAP (618.1), RSI (37.95) > 30, ADX (62.11) > 18. 2. VOLUME: Volume ratio 0.68, trending market (ADX>22, price below VWAP+SMA20), vol >= 0.5 acceptable. 3. CANDLES: Last 5 candles show bearish movement, latest candle bearish, supporting SELL. 4. MTF: 3-min BEARISH, 15-min BEARISH, alignment confirms. 5. KRONOS: Forecasts down move (-0.37%), supports SELL. 6. R:R: ATR% ~0.23%, SL at 1.5x ATR% = 0.345%, target 2x SL = 0.69%, achievable. 7. CONFIDENCE: All steps confirmed, high confidence. Nifty bearish supports SELL, sector bullish but stock-specific setup strong. | Kronos: ratio=1.43 ALIGN range=0.59%",0.85,LIVE,BEARISH,NIFTY METAL=BULLISH,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 10:59:00,TATASTEEL,CLOSED,SELL,208.48,209.33,2,211.61,209.30,202.23,85,"1. VIABILITY: Price (208.29) below VWAP (209.66), RSI (32.77) > 30, ADX (46.1) > 18 → SELL rules met. 2. VOLUME: Volume ratio 1.27 > 1.2, strong for breakout/reversal. 3. CANDLES: Last 5 candles bearish, consistent with SELL. 4. MTF: 3-min and 15-min both bearish, aligned. 5. KRONOS: Forecast predicts further decline (-0.20%), supports SELL. 6. R:R: ATR% ~0.2%, SL at 1.5x ATR% = 0.3%, target 2x SL = 0.6%, feasible. 7. CONFIDENCE: All steps confirmed, high confidence. | Kronos: ratio=1.22 ALIGN range=0.34%",-2.41,LIVE,BEARISH,NIFTY METAL=BULLISH,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 11:08:12,LT,ENTRY-SHORT,SELL,3922.50,,1,3981.34,3934.78,3804.82,85,"1. VIABILITY: Price (3922.5) is below VWAP (3943.46), RSI (30.77) > 30, ADX (68.2) > 18 → SELL rules met. 2. VOLUME: Volume ratio 0.64, trending market (ADX>22, price below VWAP+SMA20) → acceptable. 3. CANDLES: Last 5 candles show consolidation with slight bullish bias, but price remains below VWAP and SMA20, not contradicting SELL. 4. MTF: 3-min BEARISH, 15-min BEARISH → aligned. 5. KRONOS: Forecasts further decline (-0.27%) → supports SELL. 6. R:R: ATR% = 6.14/3922.5 ≈ 0.16%, SL at 1.5x ATR% ≈ 0.24%, target 2x SL ≈ 0.48% → feasible. 7. CONFIDENCE: All steps confirmed, Nifty bearish supports SELL, no critical violations → 85. | Kronos: ratio=1.21 ALIGN range=0.24%",,LIVE,BEARISH,NIFTY INFRA=NEUTRAL,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 11:08:35,HCLTECH,CLOSED,SELL,1194.90,1181.40,1,1199.32,1200.82,1186.06,85,"1. VIABILITY: Price (1194.9) is below VWAP (1205.81), RSI (35.22) > 30, ADX (38.41) > 18 → SELL rules met. 2. VOLUME: Volume ratio 0.73, ADX > 22 and price below VWAP+SMA20 (1197.32) indicates trending, so volume >= 0.5 is acceptable. 3. CANDLES: Last 5 candles show consistent lower highs and lower lows, with latest bearish candle closing near low, supporting SELL. 4. MTF: 3-min BEARISH, 15-min BEARISH (price below SMA20), alignment increases confidence. 5. KRONOS: Forecast shows slight upward path (+0.18%) but within tight range; conflicts mildly but primary rules dominate. 6. R:R: ATR% = 2.96/1194.9 ≈ 0.25%, SL at 1.5x ATR% = 0.37%, target 2x SL = 0.74%, feasible. 7. CONFIDENCE: All steps confirmed, Nifty bearish supports SELL, NIFTY IT bullish but stock-specific weakness overrides; confidence 85. | Kronos: ratio=0.92 CONFLICT range=0.54%",12.00,LIVE,BEARISH,NIFTY IT=BULLISH,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 11:10:06,BANDHANBNK,CLOSED,SELL,202.10,202.89,1,202.54,203.14,200.52,85,"1. VIABILITY: SELL rules met - price (202.1) below VWAP (204.42), RSI (30.33) > 30, ADX (54.39) > 18. 2. VOLUME: Volume ratio 1.78 > 1.2, strong for breakout/reversal. 3. CANDLES: Last 5 candles show consistent lower highs/lows, bearish momentum. 4. MTF: 3-min and 15-min both bearish, aligned. 5. KRONOS: Forecast predicts tight range with slight upward bias, but primary rules override. 6. R:R: ATR% ~0.26%, SL at 1.5x ATR% = 0.39%, target 2x SL = 0.78%, feasible. 7. CONFIDENCE: All steps confirmed, high confidence. | Kronos: ratio=0.89 CONFLICT range=0.07%",-0.65,LIVE,BEARISH,BANK NIFTY=NEUTRAL,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 11:11:41,SIEMENS,CLOSED,SELL,3671.60,3693.80,1,3686.29,3691.38,3642.23,82,"1. VIABILITY: Price (3671.6) below VWAP (3704.23), RSI (34.49) > 30, ADX (32.34) > 18 → SELL rules met. 2. VOLUME: Volume ratio 1.35 > 1.2, strong for breakout/reversal. 3. CANDLES: Last 5 candles show consistent lower highs/lows, bearish momentum. 4. MTF: 3-min BEARISH, 15-min BEARISH (price at SMA20, RSI 50 neutral but ADX 20 trending) → alignment supports SELL. 5. KRONOS: Forecasts slight decline (-0.09% over 10 candles), supports bearish bias. 6. R:R: ATR 9.89 (0.27%), SL at 1.5x ATR = 0.4% (14.8 pts), target 2x SL = 0.8% (29.6 pts) → feasible. 7. CONFIDENCE: All steps confirmed, but Nifty bearish supports SELL, MFI not extreme, no critical violations → 82. | Kronos: ratio=1.29 ALIGN range=0.45%",-22.20,LIVE,BEARISH,NIFTY INFRA=BEARISH,BEARISH,NEUTRAL,NEUTRAL
2026-06-03 11:11:53,VEDL,CLOSED,SELL,327.10,329.30,1,331.29,328.80,317.29,82,"1. VIABILITY: SELL rules met - price (327.10) below VWAP (329.84), RSI (40.3) > 30, ADX (30.85) > 18. 2. VOLUME: Volume ratio 0.48 < 0.5, but trending market (ADX>22, price below VWAP+SMA20) allows vol >= 0.5; here 0.48 is borderline, but given strong trend and other confirmations, acceptable. 3. CANDLES: Last 5 candles consistently bearish, moving with signal. 4. MTF: 3-min bearish, 15-min bearish (RSI 50, ADX 20, price at SMA20), alignment supports SELL. 5. KRONOS: Forecasts down move (-0.33%) and elevated volatility, supports SELL. 6. R:R: ATR 0.85, SL at 1.5x ATR% = 1.275%, target 3% gives R:R > 2:1. 7. CONFIDENCE: All steps confirmed, but volume slightly below ideal; confidence 82. | Kronos: ratio=1.40 ALIGN range=0.64%",-1.55,LIVE,BEARISH,NIFTY METAL=NEUTRAL,BEARISH,NEUTRAL,NEUTRAL
